,best_fitness,fitness_evaluations,iterations,experiment,test_function
584,127.4606441097498,45,1,9,Sphere
585,127.4606441097498,46,1,9,Sphere
586,127.4606441097498,47,1,9,Sphere
587,113.36751269189719,48,1,9,Sphere
588,113.36751269189719,49,1,9,Sphere
589,113.36751269189719,50,1,9,Sphere
590,113.36751269189719,51,1,9,Sphere
591,113.36751269189719,52,1,9,Sphere
592,113.36751269189719,53,1,9,Sphere
593,113.36751269189719,54,1,9,Sphere
594,113.36751269189719,55,1,9,Sphere
595,113.36751269189719,56,1,9,Sphere
596,113.36751269189719,57,1,9,Sphere
597,113.36751269189719,58,1,9,Sphere
598,113.36751269189719,59,1,9,Sphere
599,113.36751269189719,60,1,9,Sphere
600,249.93031830243854,1,0,10,Sphere
601,249.93031830243854,2,0,10,Sphere
602,249.93031830243854,3,0,10,Sphere
603,249.93031830243854,4,0,10,Sphere
604,243.81046810793515,5,0,10,Sphere
605,243.81046810793515,6,0,10,Sphere
606,243.81046810793515,7,0,10,Sphere
607,243.81046810793515,8,0,10,Sphere
608,243.81046810793515,9,0,10,Sphere
609,243.81046810793515,10,0,10,Sphere
610,243.81046810793515,11,0,10,Sphere
611,243.81046810793515,12,0,10,Sphere
612,243.81046810793515,13,0,10,Sphere
613,243.81046810793515,14,0,10,Sphere
614,234.45722692524637,15,0,10,Sphere
615,234.45722692524637,16,0,10,Sphere
616,234.45722692524637,17,0,10,Sphere
617,209.67073298268716,18,0,10,Sphere
618,209.67073298268716,19,0,10,Sphere
619,209.67073298268716,20,0,10,Sphere
620,209.67073298268716,21,0,10,Sphere
621,177.65176266813793,22,0,10,Sphere
622,177.65176266813793,23,0,10,Sphere
623,177.65176266813793,24,0,10,Sphere
624,177.65176266813793,25,0,10,Sphere
625,177.65176266813793,26,0,10,Sphere
626,177.65176266813793,27,0,10,Sphere
627,177.65176266813793,28,0,10,Sphere
628,156.45322743969223,29,0,10,Sphere
629,156.45322743969223,30,0,10,Sphere
630,156.45322743969223,31,1,10,Sphere
631,156.45322743969223,32,1,10,Sphere
632,156.45322743969223,33,1,10,Sphere
633,156.45322743969223,34,1,10,Sphere
634,156.45322743969223,35,1,10,Sphere
635,156.45322743969223,36,1,10,Sphere
636,156.45322743969223,37,1,10,Sphere
637,156.45322743969223,38,1,10,Sphere
638,156.45322743969223,39,1,10,Sphere
639,156.45322743969223,40,1,10,Sphere
640,156.45322743969223,41,1,10,Sphere
641,156.45322743969223,42,1,10,Sphere
642,135.99333295901744,43,1,10,Sphere
643,135.99333295901744,44,1,10,Sphere
644,135.99333295901744,45,1,10,Sphere
645,135.99333295901744,46,1,10,Sphere
646,135.99333295901744,47,1,10,Sphere
647,135.99333295901744,48,1,10,Sphere
648,135.99333295901744,49,1,10,Sphere
649,135.99333295901744,50,1,10,Sphere
650,135.99333295901744,51,1,10,Sphere
651,135.99333295901744,52,1,10,Sphere
652,135.99333295901744,53,1,10,Sphere
653,135.99333295901744,54,1,10,Sphere
654,135.99333295901744,55,1,10,Sphere
655,135.99333295901744,56,1,10,Sphere
656,135.99333295901744,57,1,10,Sphere
657,135.99333295901744,58,1,10,Sphere
658,135.99333295901744,59,1,10,Sphere
659,135.99333295901744,60,1,10,Sphere
